blue1,blue2,blue3,blue4,blue5,red1,red2,red3,red4,red5,result,league,atakhans,opp_atakhans,golddiffat25,golddiffat20,golddiffat15,golddiffat10,firstmidtower,firstherald,dragons,opp_dragons,void_grubs,opp_void_grubs
Kalista,Xin Zhao,Akali,Rakan,Camille,Sion,Viktor,Ezreal,Alistar,Naafiri,1,LCK,1.0,0.0,2890.0,1982.0,-48.0,-560.0,1.0,1.0,2.0,2.0,1.0,2.0
Yone,Lillia,Poppy,Miss Fortune,Aatrox,Nidalee,Corki,Leona,Renekton,Senna,0,LCK,0.0,1.0,-1941.0,1952.0,918.0,-90.0,1.0,1.0,0.0,4.0,0.0,3.0
Rumble,Varus,Ahri,Nautilus,Naafiri,Nidalee,Azir,Jayce,Jhin,Rell,1,LCK,0.0,1.0,3167.0,2210.0,1181.0,361.0,1.0,0.0,2.0,2.0,0.0,3.0
Pantheon,Jhin,Rumble,Rell,Corki,Varus,Ahri,Wukong,Neeko,Sion,0,LCP,1.0,0.0,-2417.0,-3215.0,-579.0,410.0,1.0,1.0,4.0,2.0,3.0,0.0
Ryze,Trundle,Jax,Ashe,Poppy,Yorick,Xin Zhao,Akali,Leona,Kai'Sa,1,LCK,1.0,0.0,-8.0,-595.0,35.0,-252.0,1.0,1.0,3.0,3.0,2.0,1.0
Xin Zhao,Ezreal,Yorick,Rakan,Viktor,Annie,Miss Fortune,Viego,Alistar,Sett,1,LCP,1.0,0.0,9166.0,4483.0,2247.0,1484.0,1.0,1.0,3.0,1.0,1.0,2.0
Taliyah,Pantheon,K'Sante,Lucian,Braum,Wukong,Renekton,Alistar,Ezreal,Syndra,0,LCK,0.0,1.0,-3103.0,117.0,735.0,-57.0,1.0,1.0,0.0,3.0,2.0,1.0
Taliyah,Skarner,Nautilus,Tristana,Aatrox,Kai'Sa,Sejuani,Leona,Sylas,Renekton,0,LCP,0.0,1.0,837.0,1075.0,-983.0,-1253.0,0.0,0.0,1.0,3.0,0.0,3.0
Vi,Xayah,Rakan,Sylas,Sion,Nocturne,Rumble,Ahri,Ashe,Braum,1,LCP,1.0,0.0,17656.0,9820.0,5176.0,-158.0,1.0,1.0,4.0,0.0,1.0,2.0
Yorick,Viego,Annie,Ezreal,Rell,Wukong,Gwen,Galio,Alistar,Kai'Sa,1,LCP,1.0,0.0,2064.0,239.0,1449.0,677.0,1.0,1.0,4.0,1.0,2.0,1.0
