pick1,pick2,pick3,pick4,pick5,result,poke_avg,cc_avg,mobilidade_avg,tipo_predito
Varus,Lillia,Galio,Rell,Yone,0,0.434,0.6,0.8039999999999999,PEEL
Azir,Jayce,Wukong,Ashe,Braum,0,0.646,0.8,0.784, POKE
Rumble,Pantheon,Jhin,Alistar,Aurelion Sol,1,0.546,0.6,0.784, POKE
Sejuani,Renekton,Hwei,Ashe,Seraphine,0,0.52,1.0,0.784, POKE
Sion,Trundle,Taliyah,Corki,Kindred,1,0.528,0.4,0.78,MAPA
Viego,Lucian,Milio,Kayn,LeBlanc,1,0.534,0.2,0.8640000000000001,PICKOFF
Skarner,Senna,Braum,Ambessa,Hwei,0,0.47400000000000003,1.0,0.768, SIEGE
Azir,Rumble,Skarner,Corki,Rell,1,0.572,0.8,0.7619999999999999, BURST
Pantheon,Varus,Taliyah,Ornn,Alistar,0,0.45599999999999996,0.4,0.7779999999999999, WOMBOCOMBO
Pantheon,Ambessa,Annie,Jhin,Rakan,1,0.5619999999999999,0.6,0.796, POKE
Jayce,Lillia,Zoe,Pyke,Twitch,0,0.592,0.4,0.834, SPLIT
Ryze,Gwen,Xin Zhao,Lucian,Braum,1,0.53,0.8,0.798, POKE
Kai'Sa,Wukong,Jax,Ahri,Nautilus,0,0.47000000000000003,0.6,0.8460000000000001, SIEGE
